id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,icao_code,iata_code,gps_code,local_code,home_link,wikipedia_link,keywords
38092,SWTR,small_airport,Taraquá Airport,0.121279,-68.548543,246,SA,BR,BR-AM,São Gabriel da Cachoeira,no,,,SWTR,AM0054,,,Reserva Florestal do Rio Negro
586,SWTS,small_airport,Tangará da Serra Airport,-14.662,-57.443744,1473,SA,BR,BR-MT,Tangará da Serra,yes,SWTS,TGQ,SWTS,MT0012,,https://en.wikipedia.org/wiki/Tangar%C3%A1_da_Serra_Airport,
323890,SWTT,heliport,Supermax Heliport,-25.432516,-49.326258,3120,SA,BR,BR-PR,Curitiba,no,,,SWTT,PR0149,,,
587,SWTU,small_airport,Fazenda Tucunaré Airport,-13.465528,-58.866935,1814,SA,BR,BR-MT,Sapezal,no,SWTU,AZL,SWTU,MT0410,,,
38093,SWTV,small_airport,Fazenda Rio Preto Airport,-15.054098,-57.968368,676,SA,BR,BR-MT,Salto do Céu,no,,,SD7U,MT0313,,,SWTV
38096,SWTY,small_airport,Taguatinga Airport,-12.435274,-46.400438,1959,SA,BR,BR-TO,Taguatinga,no,,,SWTY,TO0009,,https://ceb.wikipedia.org/wiki/Taguatinga_Airport,QHN
331885,SWTZ,small_airport,Fazenda Santo Antônio - Zampieri Airport,-20.739129,-53.535518,1319,SA,BR,BR-MS,Ribas do Rio Pardo,no,,,SWTZ,MS0396,,,
588,SWUA,small_airport,São Miguel do Araguaia Airport,-13.3313,-50.197601,1249,SA,BR,BR-GO,São Miguel do Araguaia,no,SWUA,SQM,SWUA,GO0011,,,
323843,SWUD,small_airport,Cláudio Airport,-20.445833,-44.812776,2690,SA,BR,BR-MG,Cláudio,no,,,SWUD,,,,
38099,SWUE,small_airport,Fazenda Tapayuna Airport,-10.706422,-55.933033,869,SA,BR,BR-MT,Nova Canaã do Norte,no,,,SWUE,MT0411,,,
42244,SWUF,heliport,Cervejaria Petrópolis Heliport,-23.258478,-47.660891,2067,SA,BR,BR-SP,Boituva,no,,,SWUF,SP0833,,,
354763,SWUG,heliport,Hospital MATER DEI Betim/Contagem Helipad,-19.94072,-44.147503,2979,SA,BR,BR-MG,Betim,no,,,SWUG,MG0295,,,
336861,SWUI,heliport,Ilha do Maia Heliport,-23.027213,-44.331926,,SA,BR,BR-RJ,Ilha do Maia,no,,,SWUI,RJ0167,,,
38102,SWUK,small_airport,Uapuí Cachoeira Airport,1.199392,-69.211847,249,SA,BR,BR-AM,São Gabriel da Cachoeira,no,,,SWUK,AM0055,,,Vapui
38103,SWUL,small_airport,Fazenda Furna Azul Airport,-6.216058,-48.425922,387,SA,BR,BR-TO,Ananás,no,,,SWUL,TO0050,,,
589,SWUQ,small_airport,Surucucu Airport,2.83528,-63.646999,2854,SA,BR,BR-RR,Alto Alegre,no,,,SWUQ,RR0113,,https://pt.wikipedia.org/wiki/Aeroporto_Surucucu,
42240,SWUR,small_airport,Fazenda Vista Verde Airport,-8.491526,-44.384519,1945,SA,BR,BR-PI,Palmeira Do Piauí,no,,,SWOQ,PI0044,,,SWUR
38111,SWUW,small_airport,Fazenda Okuhara Airport,-15.110948,-56.836696,807,SA,BR,BR-MT,Barra do Bugres,no,,,SWUW,MT0414,,,"Fazenda Santa Bárbara II, Alto Paraguai"
323574,SWUX,small_airport,Fazenda 4 Amigos Airport,-9.244835,-49.666942,604,SA,BR,BR-TO,Abreulândia,no,,,SD85,TO0051,,,SWUX
591,SWUZ,small_airport,Brigadeiro Araripe Macedo Airport,-16.26174,-47.968717,3269,SA,BR,BR-GO,Luziânia,no,,,SWUZ,GO0025,,https://pt.wikipedia.org/wiki/Aeroporto_de_Luzi%C3%A2nia,
564920,SWVB,heliport,ICPB Heliport,-27.143296,-48.532353,18,SA,BR,BR-SC,Porto Belo,no,SWVB,,SWVB,SC0206,,,
38114,SWVC,small_airport,Vila Rica Airport,-9.981057,-51.140358,833,SA,BR,BR-MT,Vila Rica,no,SWVC,VLP,SWVC,MT0016,,https://en.wikipedia.org/wiki/Vila_Rica_Airport,
38117,SWVF,small_airport,Fazenda Santo Antônio Guaporé Airport,-16.008766,-59.920008,741,SA,BR,BR-MT,Vila Bela da Santíssima Trindade,no,,,SWVF,MT0415,,,Sede Nova
316514,SWVG,heliport,Riacho Verde Heliport,-5.971023,-40.298348,1388,SA,BR,BR-CE,Tauá,no,,,SWVG,CE0070,,,
38118,SWVH,small_airport,Fazenda Vaca Branca Airport,-9.523333,-56.238333,899,SA,BR,BR-MT,Alta Floresta,no,,,SBQD,MT0694,,,SWVH
38120,SWVJ,small_airport,Fazenda Uiapuru Airport,-13.666504,-56.002564,1519,SA,BR,BR-MT,Nova Mutum,no,,,SS47,MT1021,,,SWVJ
38121,SWVK,small_airport,Fazenda Vale do Rio Celeste Airport,-13.035319,-55.32782,1450,SA,BR,BR-MT,Nova Ubiratã,no,,,SWVK,MT0417,,,
316513,SWVM,heliport,Vinte e Oito Helipad,-19.962612,-43.958441,3340,SA,BR,BR-MG,Belo Horizonte,no,,,SWVM,MG0288,,,
38123,SWVN,small_airport,Nova Era & Thomazi Agropecuárias Airport,-13.634017,-59.796052,2054,SA,BR,BR-MT,Comodoro,no,,,SD4H,MT0698,,,"SWVN, Valdir Masutti Airport"
